Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
86_1_ZOO	86 Scaroborough	Toronto Zoo	Kennedy Stn	86 Kennedy Stn	N/A	Eglinton	TRACK	
87_0_87A	87 Cosburn	Broadview Stn	Main Street Stn	87A Main Street Stn	via East York Acres	Birchmount	
87_0_87C	87 Cosburn	Broadview Stn	Main Street Stn	87C Main Street Stn	bypasses East York Acres	Birchmount	This Branch is glitched by the TTC, it is likely that this branch of 87_0_87 C is glitched with a letter space out rather than on the number itself and the information of this branch stays the same.
87_1_87A	87 Cosburn	Main Street Stn	Broadview Stn	87A Broadview Stn	via East York Acres	Birchmount	
87_1_87C	87 Cosburn	Main Street Stn	Broadview Stn	87C Broadview Stn	bypasses East York Acres	Birchmount	
87_1_cc87	87 Cosburn	Coxwell/Cosburn	Broadview Stn	87C Broadview Stn	Goes on 62 Mortimer after this trip.	Birchmount	TRACK
88_0_88A	88 South Leaside	St Clair Stn	Beth Nealson/Wicksteed	88A Thorncliffe	via Overlea	Wilson	
88_0_88B	88 South Leaside	St Clair Stn	Beth Nealson/Wicksteed	88B Thorncliffe	via Wicksteed	Wilson	
88_0_LVTH*	88 South Leaside	Mcrae Dr at Laird Dr	Beth Nealson/Wicksteed	88 St Clair Stn	via Wicksteed	Wilson	
88_0_LDvTH	88 South Leaside	Mcrae Dr at Laird Dr	Beth Nealson/Wicksteed	88 St Clair Stn	via Overlea	Wilson	
88_1_88A	88 South Leaside	Beth Nealson/Wicksteed	St Clair Stn	88 St Clair Stn	via Wicksteed	Wilson	
88_1_88B	88 South Leaside	Beth Nealson/Wicksteed	St Clair Stn	88 St Clair Stn	via Overlea	Wilson	
88_1_88B	88 South Leaside	Beth Nealson/Wicksteed	Overlea/Thorncliffe Park	88B Thorncliffe	Last trip	Wilson	
88_1_BEOV*88	88 South Leaside	Overlea/Thorncliffe Park Dr East	Overlea At Shoppers Drug Mart	88S Short Turn	Last Trip	Wilson	
88_1_BEOV*88A	88 South Leaside	Overlea/Thorncliffe Park Dr East	Overlea At Shoppers Drug Mart	88S Short Turn	Last Trip	Wilson	
89_0_89	89 Weston	Albion Road	Keele Stn	89 Keele Stn	N/A	Mount Dennis	
89_1_89	89 Weston	Keele Stn	Albion Road	89 Albion Rd	N/A	Mount Dennis	
89_0_89sch	89 Weston	St Basil The Great College School	Keele Stn	89 Keele Stn	School Trip	Mount Dennis	
90_0_90A	90 Vaughan	Oakwood Avenue	St Clair West Stn	90 St Clair West Stn	N/A	Wilson	
90_1_90A	90 Vaughan	St Clair West Stn	Oakwood Avenue	90A Oakwood 	N/A	Wilson	
91_0_91C	91 Woodbine	York Mills Road	Woodbine Stn	91C Woodbine Stn	via Laurentide	Birchmount	
91_1_91C	91 Woodbine	Woodbine Stn	York Mills Road	91C York Mills	via Valley Woods	Birchmount	
91_0_91Cam	91 Woodbine	York Mills Road	Woodbine Stn	91C Woodbine Stn	via Valley Woods	Birchmount	
91_0_91CamCon	91 Woodbine	York Mills Road	Woodbine Stn	91C Woodbine Stn	via Valley Woods	Birchmount	
91_0_91Ccon	91 Woodbine	113 Valley Woods Road	Woodbine Stn	91C Woodbine Stn	via Valley Woods	Birchmount	
91_0_91Dpm	91 Woodbine	York Mills Road	Woodbine Stn	91D Woodbine Stn	via Railside	Birchmount	
91_0_91DpmCon	91 Woodbine	113 Valley Woods Road	Woodbine Stn	91D Woodbine Stn	via Railside	Birchmount	
91_0_CAWO	91 Woodbine	Underhill Drive/Beveridge Drive	Woodbine Stn	91C Woodbine Stn	via Sunrise	Birchmount	
91_0_CAWOcon	91 Woodbine	Underhill Drive/Beveridge Drive	Woodbine Stn	91C Woodbine Stn	via Sunrise	Birchmount	
91_1_91Cam	91 Woodbine	Woodbine Stn	York Mills Road	91C York Mills	via Laurentide	Birchmount	
91_1_91CamCon	91 Woodbine	Woodbine Stn	York Mills Road	91C York Mills	via Laurentide	Birchmount	
91_1_91Ccon	91 Woodbine	Woodbine Stn	113 Valley Woods Road	91C York Mills	via Laurentide	Birchmount	
91_1_91Dam	91 Woodbine	Woodbine Stn	York Mills Road	91D York Mills	via Railside	Birchmount	
91_1_91DamCon	91 Woodbine	Woodbine Stn	York Mills Road	91D York Mills	via Railside	Birchmount	
91_1_CAYV	91 Woodbine 	Underhill Drive/Beveridge Drive	Valley Woods/York Mills	91 York Mills	via Sunrise	Birchmount	
92_0_92	92 Woodbine South	Woodbine Stn	Ashbridge's Bay Loop (Woodbine Beach)	92 Lakeshore	N/A	Birchmount	
92_1_92	92 Woodbine South	Ashbridge's Bay Loop (Woodbine Beach)	Woodbine Stn	92 Woodbine Stn	N/A	Birchmount	
93_0_93	93 Parkview Hills	Parkview Hill/Aspen Avenue 	Woodbine Stn	93 Woodbine Stn	N/A	Birchmount	
93_1_93	93 Parkview Hills	Woodbine Stn	Parkview Hill/Aspen Avenue	93 Parkview Hills	N/A	Birchmount	
93_1_SCPK	93 Parkview Hills	St Clair/O'Connor Drive	Parkview Hill/Aspen Avenue	93 Parkview Hills	First trip	Birchmount	
94_0_94A	94 Wellesley	Ossington Stn	Castle Frank Stn	94 Castle Frank Stn	N/A	Mount Dennis	
94_0_94C	94 Wellesley	Queen's Park 	Ossington Stn	94C Ossington Stn	via Wellesley Stn	Mount Dennis	
94_1_94A	94 Wellesley	Castle Frank Stn	Ossington Stn	94A Ossington Stn	N/A	Mount Dennis	
94_1_94C	94 Wellesley	Ossington Stn	Queen's Park	94C Queens Park	via Wellesley Stn	Mount Dennis	
95_0_95A	95 York Mills	York Mills Stn	Kingston Road (Ellesmere Loop)	95A Kingston Rd	N/A	Malvern	
95_0_95B	95 York Mills	York Mills Stn	U of T Scarborough	95B UofT Scarborough	N/A	Malvern	
95_0_95C	95 York Mills	York Mills Stn	Ellesmere Stn	95C Ellesmere Stn	N/A	Malvern	
95_0_YOCE	95 York Mills	Sandfield Road	Ellesmere Stn	95C Ellesmere Stn	School trip	Malvern	TRACK
95_1_95A	95 York Mills	Kingston Road (Ellesmere Loop)	York Mills Stn	95 York Mills Stn	N/A	Malvern	
95_1_95B	95 York Mills 	U of T Scarborough	York Mills Stn	95 York Mills Stn	N/A	Malvern	
95_1_95C	95 York Mills	Ellesmere Stn	York Mills Stn	95 York Mills Stn	N/A	Malvern	
95_1_PJYK	95 York Mills 	Pope John Paul	York Mills Stn	95 York Mills Stn	School trip	Malvern	TRACK
95_1_YOCI	95 York Mills 	Sandfield Road	York Mills Stn	95 York Mills Stn	School trip	Malvern	TRACK
96_0_96	96 Wilson	Humberline Drive/Finch Ave West	York Mills Stn	96 York Mills Stn	First trip for the run	Arrow Rd	
96_0_96A	96 Wilson 	263 Carrier Drive	York Mills Stn 	96A York Mills Stn	via John Garland and Kipling	Arrow Rd	
96_0_96Aja	96 Wilson	263 Carrier Drive	Jane Street/Wilson Avenue	96S Jane	via John Garland and Kipling	Arrow Rd	
96_0_96Ap	96 Wilson	263 Carrier Drive	York Mills Stn	96A York Mills Stn	via John Garland and Kipling	Arrow Rd	
96_0_96B	96 Wilson	Humberline Loop/Albion Road	York Mills Stn	96B York Mills Stn	via Westhumber and Martin Grove	Arrow Rd	
96_0_96Bp	96 Wilson	Humberline Loop/Albion Road	York Mills Stn	96B York Mills Stn	via Westhumber and Martin Grove	Arrow Rd	
96_0_96D	96 Wilson	Carrier Drive/Westmore 	York Mills Stn	96D York Mills Stn	via John Garland and Kipling	Arrow Rd	
96_0_96Dja	96 Wilson	263 Carrier Drive	Jane Street/Wilson Avenue	96S Jane	via Westmore, John Garland and Kipling	Arrow Rd	
96_0_FIHU	96 Wilson	Humberline Loop/Albion Road	Humberline Drive/Finch Ave West	96S Finch	Final Trip	Arrow Rd	
96_1_96A	96 Wilson	York Mills Stn	263 Carrier Drive	96A Carrier Drive	via Kipling and John Garland	Arrow Rd	
96_1_96B	96 Wilson	York Mills Stn	Humberline Loop/Albion Road	96B Humberline/Albion	N/A	Arrow Rd	
96_1_96D	96 Wilson	York Mills Stn	263 Carrier Drive	96D Carrier & Westmore	via Kipling and John Garland	Arrow Rd	
96_1_FIHU	96 Wilson	Finch Ave West/Humberline Drive	Humberline Loop/Albion Road	96B Humberline/Albion	N/A	Arrow Rd	
96_1_MDJA	96 Wilson	Wilson Avenue/Dubray Avenue	Jane Street/Finch Avenue West	96S Short Turn/Finch and Jane	N/A	Arrow Rd	TRACK
96_1_wi96A	96 Wilson	Wilson Stn	263 Carrier Drive	96A Carrier Drive	via Kipling and John Garland	Arrow Rd	
96_1_wi96B	96 Wilson	Wilson Stn	Humberline Loop/Albion Road	96B Humberline/Albion	bypasses Wilson Stn	Arrow Rd	
96_1_WNWI	96 Wilson	Wilson/Yonge Blvd	Wilson Stn	96S Wilson Stn	First PM Trip, change to 119 Torbarrie.	Arrow Rd	TRACK
97_0_97A	97 Yonge	York Mills Stn	Davisville Stn	97A Davisville Stn	via Yonge Blvd	Wilson	
97_0_97B	97 Yonge	York Mills Stn	Queen's Quay	97B Queen's Quay	via Davisville Stn and Yonge Blvd	Wilson	
97_0_97BvFR	97 Yonge	York Mills Stn	Queen's Quay	97B Queen's Quay	via Front Street (counter clockwise)	Wilson	
97_0_97F	97 Yonge	Steeles Avenue West	Davisville Stn	97F Davisville Stn	N/A	Wilson	
97_1_97A	97 Yonge	Davisville Stn	York Mills Stn	97A York Mills Stn	via Yonge Blvd	Wilson	
97_1_97B	97 Yonge	Queen's Quay	York Mills Stn	97B York Mills Stn	via Davisville Stn and Yonge Blvd	Wilson	
97_1_97BvFR	97 Yonge 	Queen's Quay	York Mills Stn	97B York Mills Stn	via Front Street (clockwise)	Wilson	
97_1_97F	97 Yonge	Davisville Stn	Steeles Avenue West	97F Steeles	N/A	Wilson	
98_0_98A	98 Willowdale-Senlac	Peckham/Steeles 	Sheppard-Yonge Stn	98A Sheppard-Yonge Stn	via Senlac	Wilson	
98_0_98B	98 Willowdale-Senlac	Sheppard-Yonge Stn	Steeles/Yonge Loop	98B Steeles	via Willowdale	Wilson	
98_0_98C	98 Willowdale-Senlac	Peckham/Steeles 	Steeles/Yonge Loop	98C Steeles	via Sheppard-Yonge Stn	Wilson	
98_0_PEGO	98 Willowdale-Senlac	Cactus Avenue/Green Bush Road	Goulding Avenue/Cactus Avenue	98C Peckham	Last trip	Wilson	
98_1_98A	98 Willowdale-Senlac	Sheppard-Yonge Stn	Peckham/Steeles Avenue West	98A Steeles 	via Senlac	Wilson	
98_1_98B	98 Willowdale-Senlac	Steeles/Yonge Loop	Sheppard-Yonge Stn	98B Sheppard-Yonge Stn	via Willowdale	Wilson	
98_1_98C	98 Willowdale-Senlac	Steeles/Yonge Loop	Peckham/Steeles	98C Peckham	via Sheppard-Yonge Stn	Wilson	
98_1_GOPE	99 Willowdale-Senlac	Goulding Av/Cactus Avenue	Peckham/Steeles 	98C Steeles	First trip of 98C	Wilson	
99_0_99	99 Arrow Road 	Jane Street/Sheppard 	Arrow Road Bus Yard	99 Arrow Road 	N/A	Arrow Rd	This route runs before rush hour and before regular bus service begins, as it brings operators into the yard from Jane and Sheppard
99_1_99	99 Arrow Road 	Arrow Road Bus Yard	Jane Street/Sheppard 	99 Jane	N/A	Arrow Rd	This route runs before rush hour and before regular bus service begins, as it brings operators into the yard from Jane and Sheppard
100_0_100A	100 Flemingdon Park	Don Mills Road/Wynford Drive	Broadview Stn	100A Broadview Stn	N/A	Eglinton	
100_1_100A	100 Flemingdon Park	Broadview Stn	Don Mills Road/Wynford Drive	100A Don Mills & Wynford	N/A	Eglinton	
101_0_101	101 Downsview Park	75 Carl Hall Road (The Hangar)	Sheppard West Stn	101 Sheppard West Stn	N/A	Arrow Rd	
101_1_101	101 Downsview Park	Sheppard West Stn	75 Carl Hall Road (The Hangar)	101 Downsview Park	N/A	Arrow Rd	
102_0_102A	102 Markham Rd	Centennial College	Warden Stn	102 Warden Stn	N/A	Birchmount, Eglinton	
102_0_102B	102 Markham Rd	Steeles Avenue East/Markham Rd	Warden Stn	102 Warden Stn	N/A	Birchmount	
102_0_102Bpm	102 Markham Rd	Steeles Avenue East/Markham Rd	Warden Stn	102C Warden Stn	via Dynamic Drive	Birchmount, Eglinton	
102_0_102D	102 Markham Rd	Major Mackenzie Drive	Warden Stn	102 Warden Stn	N/A	Birchmount	
102_0_MPWA	102 Markham Rd	Markham Rd/Sheppard Ave East	Warden Stn	102 Warden Stn	N/A	Birchmount	
102_0_SEMK	102 Markham Rd	Markham Rd/Select Avenue	Markham Rd/Steeles Ave East	102B Steeles	Final trip	Birchmount	
102_1_102A	102 Markham Rd	Warden Stn	Centennial College	102A Progress/Centennial College	N/A	Birchmount, Eglinton	Does this trip then turns into 144. 
102_1_102B	102 Markham Rd	Warden Stn	Steeles Avenue East/Markham Rd	102B Steeles	N/A	Birchmount	
102_1_102Bam	102 Markham Rd	Warden Stn	Steeles Avenue East/Markham Rd	102C Steeles	via Dynamic Drive	Birchmount	
102_1_102D	102 Markham Rd 	Warden Stn	Major Mackenzie Drive	102D Major Mackenzie	Extra Fare Required North of Steeles	Birchmount	
102_1_WAMP	102 Markham Rd	Warden Stn	Markham Rd/Sheppard Ave East	102S Sheppard	N/A	Birchmount	
102_1_CNCC	102 Markham Rd	2665 Kingston Road	Centennial College	102A Progress/Centennial College	School Trip, Cardinal Newman High School	Eglinton	
102_1_CDHS	102 Markham Rd	Cardinal Newman High School	Centennial College	102A Progress/Centennial College	School Trip	Eglinton	TRACK
104_0_104	104 Faywood 	Sheppard West Stn	Wilson Stn	104 Wilson Stn	N/A	Wilson	
104_1_104	104 Faywood 	Wilson Stn	Sheppard West Stn	104 Sheppard West Stn	N/A	Wilson	
105_0_105A	105 Dufferin North	Steeles Avenue West	Sheppard West Stn	105A Sheppard West Stn	N/A	Wilson	
105_0_105D	105 Dufferin North	Steeles Avenue West	Wilson Stn	105D Wilson Stn	bypass Sheppard West Stn	Wilson	This branch is added to replace 105_0_DUWI with the incorrect information for this branch.
105_0_DUWI	105 Dufferin North	Steeles Avenue West	Wilson Stn	105D Wilson Stn	Glitched duplicate branch	Wilson	This branch is glitched by the TTC. It is a duplicate of 105_0_105D but with incorrect information.
105_1_105A	105 Dufferin North	Sheppard West Stn	Steeles Avenue West	105A Steeles	N/A	Wilson	
105_1_WIDU	105 Dufferin North	Wilson Stn	Steeles Avenue West	105A Steeles 	N/A	Wilson	
105_1_105D	105 Dufferin North	Wilson Stn	Steeles Avenue West	105A Steeles	bypasses Sheppard West Stn	Wilson	This branch starts from Wilson Stn and ends at Steeles Avenue West
106_0_106	106 Sentinel	Pioneer Village Stn	Sheppard West Stn	106 Sheppard West Stn	N/A	Wilson	
106_0_SEDO	106 Sentinel	Finch Ave West/Sentinel Road	Sheppard West Stn	106 Sheppard West Stn	School trip, CW Jeffreys	Wilson	This branch has not been updated since Downsview station was renamed to Sheppard West station
106_1_106	106 Sentinel	Sheppard West Stn	Pioneer Village Stn	106 Pioneer Village Stn	N/A	Wilson	
106_1_106pv	106 Sentinel	Sheppard West Stn	Northwest Gate (Pioneer Village Stn)	106 Pioneer Village Stn	N/A	Wilson	
107_0_107	107 St Regis	Pioneer Village Stn	Sheppard West Stn	107 Sheppard West Stn	N/A	Arrow Rd	
107_0_107wi	107 St Regis	Pioneer Village Stn	Wilson Stn	107 Wilson Stn	via Sheppard West Stn	Arrow Rd	
107_1_107	107 St Regis	Sheppard West Stn	Pioneer Village Stn	107 Pioneer Village Stn	via Petrolia	Arrow Rd	
107_1_wi107	107 St Regis	Wilson Stn	Pionner Village Stn	107 Pioneer Village Stn	via Sheppard West Stn	Arrow Rd	
108_0_108A	108 Driftwood	Pioneer Village Stn	Sheppard West Stn	108A Sheppard West Stn 	via Grandravine	Arrow Rd	
108_0_108B	108 Driftwood	Pioneer Village Stn	Sheppard West Stn	108B Sheppard West Stn	via Arleta	Arrow Rd	
108_0_108Bpv	108 Driftwood	Northwest Gate (Pioneer Village Stn)	Sheppard West Stn	108B Sheppard West Stn	via Arleta	Arrow Rd	
108_0_108Cpv	108 Driftwood	Northwest Gate (Pioneer Village Stn)	Wilson Stn	108C Wilson Stn	via Arleta	Arrow Rd	
108_0_FIDO	108 Driftwood	Finch Ave West/Driftwood 	Sheppard West Stn	108A Sheppard West Stn	via Arleta, school trip	Arrow Rd	
108_0_PVFI	108 Driftwood	Pioneer Village Stn	Driftwood/Finch Ave West	108S Finch	Last Trip	Arrow Rd	
108_1_108A	108 Driftwood	Sheppard West Stn	Pioneer Village Stn	108A Pionner Village Stn	via Grandravine	Arrow Rd	
108_1_108B	108 Driftwood	Sheppard West Stn	Pioneer Village Stn	108B Pionner Village Stn	via Arleta	Arrow Rd	
108_1_108C	108 Driftwood	Wilson Stn	Pionner Village Stn	108C Pionner Village Stn	via Arleta	Arrow Rd	
108_1_STPV	108 Driftwood	Driftwood/Stong Avenue	Pioneer Village Stn	108C Pioneer Village Stn	First Trip	Arrow Rd	
108_1_STPVc	108 Driftwood	Driftwood/Stong Avenue	Pioneer Village Stn	108C Pioneer Village Stn	First Trip	Arrow Rd	
109_0_109	109 Ranee	Bathurst Street	Lawrence West Stn	109S Lawrence West Stn	via Flemington	Wilson	
109_0_109B	109 Ranee	Bathurst Street	Eglinton West Stn	109B Eglinton West Stn	via Flemington and Marlee	Wilson	
109_0_109C	109 Ranee	Bathurst Street	Eglinton West Stn	109C Eglinton West Stn	via Varna and Marlee	Wilson	
109_0_LAEW	109 Ranee	Lawrence West Stn	Eglinton West Stn	109 Eglinton West Stn	via Marlee	Wilson	
109_0_RALA	109 Ranee	Ranee/Flemington (Yorkdale Stn)	Lawrence West Stn	109S Lawrence West Stn	via Flemington	Wilson	
109_0_RAEW	109 Ranee	Ranee/Flemington (Yorkdale Stn)	Eglinton West Stn	109 Eglinton West Stn	via Flemington and Marlee	Wilson	
109_1_109	109 Ranee	Lawrence West Stn	Bathurst Street	109 Neptune	via Flemington	Wilson	
109_1_109A	109 Ranee	Lawrence West Stn	Bathurst Street	109 Neptune	via Varna	Wilson	
109_1_109B	109 Ranee	Eglinton West Stn 	Bathurst Street	109B Neptune	via Marlee and Flemington	Wilson	
109_1_109C	109 Ranee	Eglinton West Stn 	Bathurst Street	109C Neptune	via Marlee and Varna	Wilson	
109_1_LARA	109 Ranee	Lawrence West Stn	Ranee/Flemington (Yorkdale Stn)	109S Short Turn	via Varna	Wilson	
110_0_110A	110 Islington South	Long Branch Loop	Islington Stn	110A Islington Stn	via Browns Line and Horner	Queensway	
110_0_110B	110 Islington South	Long Branch Loop	Islington Stn	110B Islington Stn	via 30th Street and Horner	Queensway	
110_0_110C	110 Islington South	Lake Shore Blvd	Islington Stn	110B Islington Stn	via Horner and 30th Street	Queensway	
110_0_110Cpm	110 Islington South	Lake Shore Blvd + Islington/Birmingham	Islington Stn	110C Islington Stn	N/A	Queensway	
110_0_EVLK	110 Islington South	Evans/Islington	Lake Shore/Islington Avenue	110C Lake Shore	First trip	Queensway	
110_1_110A	110 Islington South	Islington Stn	Long Branch Loop	110A Long Branch 	via Horner and Browns Line	Queensway	
110_1_110B	110 Islington South	Islington Stn	Long Branch Loop	110B Long Branch 	via Horner and 30th Street	Queensway	
110_1_110C	110 Islington South	Islington Stn	Lake Shore Blvd	110C Lake Shore	N/A	Queensway	
110_1_110Cpm	110 Islington South	Islington Stn	Lake Shore Blvd + Islington/Birmingham	110C Lake Shore	N/A	Queensway	
111_0_111	111 East Mall	Longbourne Drive	Kipling Stn	111 Kipling Stn	N/A	Queensway	
111_1_111	111 East Mall	Kipling Stn	Longbourne Drive	111 Eglinton	N/A	Queensway	
111_1_MGMG	111 East Mall	Eglinton Ave West/Martin Grove	Longbourne Drive	111 Eglinton	N/A	Queensway	
111_0_RAEM	111 East Mall	Rathburn/The East Mall	Kipling Stn	111 Kipling Stn	First Trip // Change into 900 Airport Express after this trip	Queensway	
112_0_112B	112 West Mall	Renforth Stn	Kipling Stn	112B Kipling Stn	N/A	Queensway	
112_0_112C	112 West Mall	Disco Rd/Carlingview Drive	Kipling Stn	112C Kipling Stn	via Renforth Stn	Queensway	
112_0_112Ca	112 West Mall	Disco Road	Kipling Stn	112C Kipling Stn	via Renforth Stn	Queensway	
112_0_112Cp	112 West Mall	Disco Road	Kipling Stn	112C Kipling Stn	via Renforth Stn	Queensway	
112_0_112E	112 West Mall	Renforth Drive/Eringate Drive	Kipling Stn	112E Kipling Stn	Express	Queensway	
112_0_BLCA	112 West Mall	Belfield Rd/Brockport Drive	Carlingview Drive/Renforth Drive	112C Disco Rd	via Renforth Stn	Queensway	
112_1_112B	112 West Mall 	Kipling Stn	Renforth Stn	112B Renforth Stn	N/A	Queensway	
112_1_112C	112 West Mall	Kipling Stn	Disco Rd/Carlingview Drive	112C Disco Rd	via Renforth Stn	Queensway	
112_1_112Ca	112 West Mall 	Kipling Stn	Disco Road	112C Disco Rd	via Renforth Stn	Queensway	
112_1_112Cp	112 West Mall	Kipling Stn	Disco Road	112C Disco Rd	via Renforth Stn	Queensway	
112_1_EGCA	112 West Mall	Renforth/Eglinton	Carlingview Drive/Renforth Drive	112C Disco Rd	First trip via Renforth Stn (Mix of 112C, RNBL, and BLCA)	Queensway	
112_1_RNBL	112 West Mall	Renforth Dr/Carlingview Drive	Belfield Rd/Brockport Drive	112C Disco Rd	N/A	Queensway	
113_0_113	113 Danforth 	Main Street Stn	Kennedy Stn	113 Kennedy Stn	N/A	Birchmount	
113_1_113	113 Danforth 	Kennedy Stn	Main Street Stn	113 Main Street Stn	N/A	Birchmount	
115_0_115	115 Silver Hills 	Woodsworth Road/Davean Drive	York Mills Stn	115 York Mills Stn	N/A	Wilson	
115_1_115	115 Silver Hills	York Mills Stn	Woodsworth Road/Davean Drive	115 Leslie	N/A	Wilson	
116_0_116A	116 Morningside	Kennedy Stn	Ellesmere/Morrish Rd (Conlins Rd) 	116A Conlins Rd	via Ellesmere	Eglinton	
116_0_116B	116 Morningside	Kennedy Stn	Eglinton Avenue East/Kingston Rd	116B Kingston Rd and Eglinton	Short Turn	Eglinton	
116_0_116C	116 Morningside	Kennedy Stn	Morningside/Nightstar (Finch)	116C Finch and Morningside Heights	N/A	Eglinton	
116_0_CNMR	116 Morningside	Mirrow/Ellesmere Road	Ellesmere/Morrish Rd (Conlins Rd) 	116 Kennedy Stn	N/A	Eglinton	
116_0_kn116C	116 Morningside	Kennedy Rd/Eglinton Ave East	Morningside/Nightstar (Finch)	116C Finch and Morningside Heights	bypasses Kennedy Stn	Eglinton	
116_0_mo116	116 Morningside	Morningside/Lawrence Ave East	Morningside/Nightstar (Finch)	116C Finch and Morningside Heights	N/A	Eglinton	
116_0_gu116	116 Morningside	Guildwood Parkway/Kingston Rd	Morningside/Nightstar (Finch)	116C Finch and Morningside Heights	N/A	Eglinton	
116_0_mons	116 Morningside	Morningside/Staines	Kennedy Stn	116 Kennedy Stn	N/A	Eglinton	
116_0_pj116	116 Morningside	Morningside/Ellesmere 	Morningside/Nightstar (Finch)	116C Finch and Morningside Heights	School trip, then it goes on the 53 Steeles East	Malvern	Interlined with 53 - TRACK
116_1_116A	116 Morningside	Ellesmere/Morrish Rd (Conlins Rd) 	Kennedy Stn	116 Kennedy Stn	N/A	Eglinton	
116_1_116B	116 Morningside	Eglinton Avenue East/Kingston Rd	Kennedy Stn	116 Kennedy Stn	N/A	Eglinton	
116_1_116C	116 Morningside	Morningside/Nightstar (Finch)	Kennedy Stn	116 Kennedy Stn	N/A	Eglinton	
116_1_pj116	116 Morningside	Pope John Paul	Kennedy Stn	116 Kennedy Stn	School trip	Eglinton	
116_1_mn116	116 Morningside	Morningside/Ellesmere Road	Kennedy Stn	116 Kennedy Stn	School trip	Eglinton	
116_1_116Ckn	116 Morningside	Morningside/Nightstar (Finch)	Kennedy Stn	116 Kennedy Stn	Final Trip	Eglinton 	
117_0_117	117 Alness-Chesswood	Steeles Avenue West	Sheppard West Stn	117 Sheppard West Stn	N/A	Wilson	
117_1_117	117 Alness-Chesswood	Sheppard West Stn	Steeles Avenue West	117 Steeles	N/A	Wilson	
118_0_118a	118 Thistle Down 	Thistle Down Blvd/Albion Road	Wilson Stn	118 Wilson Stn	via Tandridge	Arrow Rd	
118_1_118a	118 Thistle Down	Wilson Stn	Thistle Down Blvd/Albion Road	118 Thistle Down	N/A	Arrow Rd	
118_0_118p	118 Thistle Down 	Thistle Down Blvd/Albion Road	Wilson Stn	118 Wilson Stn	N/A	Arrow Rd	
118_1_118p	118 Thistle Down	Wilson Stn	Thistle Down Blvd/Albion Road	118 Thistle Down	via Tandridge	Arrow Rd	
119_0_119a	119 Tobarrie	Arrow Road/Sheppard Ave West	Wilson Stn	119 Wilson Stn	via Torbarrie	Arrow Rd	
119_1_119a	119 Tobarrie	Wilson Stn	Arrow Road/Sheppard Ave West	119 Sheppard 	via Clayson	Arrow Rd	
119_0_119p	119 Tobarrie	Arrow Road/Sheppard Ave West	Wilson Stn	119 Wilson Stn	via Clayson	Arrow Rd	
119_1_119p	119 Tobarrie	Wilson Stn 	Arrow Road/Sheppard Ave West	119 Sheppard 	via Torbarrie	Arrow Rd	
120_0_120	120 Calvington 	Northover Street/Sheppard Ave West	Wilson Stn	120 Wilson Stn	via De Havilland	Arrow Rd	
120_0_gi120	120 Calvington 	Jane/Giltspur Drive	Wilson Stn	120 Wilson Stn	via De Havilland	Arrow Rd	This trip likely was inputted by error
120_0_NRGI	120 Calvington 	Northover Street/Sheppard Ave West	Jane/Giltspur Drive	120 Sheppard & Jane	Last trip	Arrow Rd	
120_1_120	120 Calvington 	Wilson Stn	Northover Street/Sheppard Ave West	120 Sheppard & Jane	via De Havilland	Arrow Rd	
120_1_SHNR	120 Calvington 	Jane Street/Sheppard Ave West	Northover Street/Sheppard Ave West	120 Wilson Stn	First trip	Arrow Rd	
121_0_121A	121 Fort York-Esplanade 	Exhibition (Prince's Gate Loop)	Front Street East/Parliament Street	121A Distillery	via Union Stn	Birchmount	
121_0_121C	121 Fort York-Esplanade	Exhibition (Prince's Gate Loop)	Cherry Beach	121C Cherry Beach	via Union Stn	Birchmount	
121_0_121D	121 Fort York-Esplanade 	Ontario Place	Cherry Beach	121D Cherry Beach	via Union Stn	Birchmount	
121_0_121S	121 Fort York-Esplanade	Union Station	Distillery District	121A Distillery	Starts at Union Station	Birchmount	This branch helps customers travel to the Distillery District for the Toronto Christmas Market
121_1_121A	121 Fort York-Esplanade 	Mill Street/Cherry Street	Exhibition (Prince's Gate Loop)	121A Exhibition (Princes Gate)	via Union Stn	Birchmount	
121_1_121C	121 Fort York-Esplanade	Cherry Beach	Exhibition (Prince's Gate Loop)	121C Exhibition	via Union Stn	Birchmount	
121_1_121D	121 Fort York-Esplanade 	Cherry Beach	Ontario Place 	121D Ontario Place	via Distillery and Union Stn	Birchmount	
121_1_121S	121 Fort York-Esplanade	Distillery District	Union Station	121A Exhibition (Princes Gate)	Ends at Union Station	Birchmount	This branch helps customers travel to the Distillery District for the Toronto Christmas Market
122_0_122	122 Graydon Hall	York Mills Stn	Roywood/Fenside 	122 Roywood	via Lesmill 	Wilson	
122_0_122*	122 Graydon Hall	York Mills Stn	Roywood/Fenside 	122 Roywood	via Lesmill	Wilson	
122_0_ROUP	122 Graydon Hall	Underpass Gate/Roywood	Roywood/Fenside 	122 York Mills Stn	N/A	Wilson	
122_1_122	122 Graydon Hall	Roywood/Fenside 	York Mills Stn	122 York Mills Stn	via Lesmill	Wilson	
122_1_122*	122 Graydon Hall	Roywood/Fenside 	York Mills Stn	122 York Mills Stn	via Lesmill	Wilson	
122_1_fe122	122 Graydon Hall	Fenelon Loop	York Mills Stn	122 York Mills Stn	via Lesmill	Wilson	
123_0_123B	123 Sherway	Kipling Stn	Long Branch Loop	123B Long Branch	via East Mall and Sherway	Queensway	
